document,section,obligation,sam,claude
allenai__biomed_roberta_base_annex_iv,testing,data_gap,0,1
allenai__biomed_roberta_base_annex_iv,testing,provenance,0,1
allenai__biomed_roberta_base_annex_iv,testing,relevance,0,1
allenai__biomed_roberta_base_annex_iv,testing,suitability,0,1
allenai__biomed_roberta_base_annex_iv,training,relevance,0,1
allenai__biomed_roberta_base_annex_iv,training,statistical_props,0,1
emilyalsentzer__Bio_ClinicalBERT_annex_iv,training,assumptions,0,1
emilyalsentzer__Bio_ClinicalBERT_annex_iv,training,relevance,0,1
emilyalsentzer__Bio_ClinicalBERT_annex_iv,training,statistical_props,0,1
epfl-llm__meditron-7b_annex_iv,testing,assumptions,0,1
epfl-llm__meditron-7b_annex_iv,testing,bias_examination,0,1
epfl-llm__meditron-7b_annex_iv,testing,contextual_characteristics,0,1
epfl-llm__meditron-7b_annex_iv,testing,preprocessing,0,1
epfl-llm__meditron-7b_annex_iv,testing,relevance,0,1
epfl-llm__meditron-7b_annex_iv,testing,statistical_props,0,1
epfl-llm__meditron-7b_annex_iv,testing,suitability,0,1
epfl-llm__meditron-7b_annex_iv,training,assumptions,0,1
epfl-llm__meditron-7b_annex_iv,training,bias_examination,1,0
epfl-llm__meditron-7b_annex_iv,training,data_gap,0,1
epfl-llm__meditron-7b_annex_iv,training,quality_metrics,0,1
epfl-llm__meditron-7b_annex_iv,training,relevance,0,1
epfl-llm__meditron-7b_annex_iv,training,statistical_props,0,1
google__medgemma-4b-it_annex_iv,testing,data_gap,1,0
google__medgemma-4b-it_annex_iv,testing,design_choices,1,0
google__medgemma-4b-it_annex_iv,testing,provenance,1,0
google__medgemma-4b-it_annex_iv,testing,quality_metrics,1,0
google__medgemma-4b-it_annex_iv,testing,suitability,1,0
google__medgemma-4b-it_annex_iv,training,assumptions,0,1
google__medgemma-4b-it_annex_iv,training,relevance,0,1
google__medgemma-4b-it_annex_iv,training,representativeness,0,1
google__medgemma-4b-it_annex_iv,training,suitability,0,1
google__medgemma-4b-it_annex_iv,validation,assumptions,0,1
google__medgemma-4b-it_annex_iv,validation,data_gap,0,1
google__medgemma-4b-it_annex_iv,validation,design_choices,0,1
google__medgemma-4b-it_annex_iv,validation,provenance,0,1
google__medgemma-4b-it_annex_iv,validation,quality_metrics,0,1
google__medgemma-4b-it_annex_iv,validation,relevance,0,1
google__medgemma-4b-it_annex_iv,validation,statistical_props,0,1
google__medgemma-4b-it_annex_iv,validation,suitability,0,1
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,testing,provenance,1,0
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,testing,quality_metrics,1,0
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,training,assumptions,0,1
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,training,relevance,0,1
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,training,statistical_props,0,1
microsoft__BiomedCLIP-PubMedBERT_256-vit_base_patch16_224_annex_iv,validation,design_choices,0,1
microsoft__BiomedVLP-BioViL-T_annex_iv,testing,quality_metrics,1,0
microsoft__BiomedVLP-BioViL-T_annex_iv,testing,statistical_props,0,1
microsoft__BiomedVLP-BioViL-T_annex_iv,testing,suitability,0,1
microsoft__BiomedVLP-BioViL-T_annex_iv,training,assumptions,0,1
microsoft__BiomedVLP-BioViL-T_annex_iv,training,preprocessing,0,1
microsoft__BiomedVLP-BioViL-T_annex_iv,training,relevance,0,1
microsoft__BiomedVLP-BioViL-T_annex_iv,training,representativeness,1,0
microsoft__BiomedVLP-BioViL-T_annex_iv,validation,design_choices,0,1
microsoft__BiomedVLP-BioViL-T_annex_iv,validation,provenance,0,1
microsoft__BiomedVLP-BioViL-T_annex_iv,validation,relevance,0,1
microsoft__BiomedVLP-BioViL-T_annex_iv,validation,suitability,0,1
model_card_noncompliant,training,suitability,0,1
