document,model,mode,gold,verdict,correct
PharMolix__BioMedGPT-LM-7B_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
PharMolix__BioMedGPT-LM-7B_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
StanfordAIMI__stanford-deidentifier-base_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
allenai__biomed_roberta_base_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
axiong__PMC_LLaMA_13B_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,llama3.1-8b,zeroshot,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,mistral-7b,bypass,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,mistral-7b,graphrag,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,mistral-7b,zeroshot,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,qwen2.5-14b,bypass,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,qwen2.5-14b,graphrag,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,qwen2.5-14b,zeroshot,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,qwen2.5-7b,bypass,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,qwen2.5-7b,graphrag,non-compliant,non-compliant,True
cambridgeltl__SapBERT-from-PubMedBERT-fulltext_annex_iv,qwen2.5-7b,zeroshot,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,baseline-keyword,graphrag,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,gemma4-e4b,bypass,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,gemma4-e4b,graphrag,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,gemma4-e4b,zeroshot,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,llama3.1-8b,bypass,non-compliant,non-compliant,True
emilyalsentzer__Bio_ClinicalBERT_annex_iv,llama3.1-8b,graphrag,non-compliant,non-compliant,True
