sep=,
document,dataset_section,obligation,present,adequate,notes,annotator
allenai__biomed_roberta_base_annex_iv,training,design_choices,1,,,claude
allenai__biomed_roberta_base_annex_iv,training,provenance,1,,,claude
allenai__biomed_roberta_base_annex_iv,training,preprocessing,1,,,claude
allenai__biomed_roberta_base_annex_iv,training,assumptions,0,,,claude
allenai__biomed_roberta_base_annex_iv,training,suitability,1,,,claude
allenai__biomed_roberta_base_annex_iv,training,bias_examination,0,,,claude
allenai__biomed_roberta_base_annex_iv,training,bias_mitigation,0,,,claude
allenai__biomed_roberta_base_annex_iv,training,data_gap,0,,,claude
allenai__biomed_roberta_base_annex_iv,training,relevance,1,,,claude
allenai__biomed_roberta_base_annex_iv,training,representativeness,0,,,claude
allenai__biomed_roberta_base_annex_iv,training,statistical_props,1,,,claude
allenai__biomed_roberta_base_annex_iv,training,quality_metrics,0,,,claude
allenai__biomed_roberta_base_annex_iv,training,contextual_characteristics,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,design_choices,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,provenance,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,preprocessing,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,assumptions,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,suitability,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,bias_examination,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,bias_mitigation,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,data_gap,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,relevance,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,representativeness,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,statistical_props,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,quality_metrics,0,,,claude
allenai__biomed_roberta_base_annex_iv,validation,contextual_characteristics,0,,,claude
allenai__biomed_roberta_base_annex_iv,testing,design_choices,1,,,claude
allenai__biomed_roberta_base_annex_iv,testing,provenance,1,,,claude
allenai__biomed_roberta_base_annex_iv,testing,preprocessing,0,,,claude
allenai__biomed_roberta_base_annex_iv,testing,assumptions,0,,,claude
allenai__biomed_roberta_base_annex_iv,testing,suitability,1,,,claude
allenai__biomed_roberta_base_annex_iv,testing,bias_examination,0,,,claude
